code,name,network_id,network_region,description,npi_id,latitude,longitude,units
ADP,Adelaide Desalination,NEM,SA1,"<p>The Adelaide Desalination plant (ADP), formerly known as the Port Stanvac Desalination Plant, is a sea water reverse osmosis desalination plant located in Lonsdale, South Australia which has the capacity to provide the city of Adelaide with up to 50% of its drinking water needs.</p>",,-35.096948,138.484061,"[{""code"": ""ADPPV1"", ""fueltech_id"": ""solar_utility"", ""status_id"": ""operating"", ""capacity_registered"": 24.75, ""capacity_maximum"": 19.0, ""capacity_storage"": null, ""emissions_factor_co2"": null, ""data_first_seen"": ""2021-05-18T13:10:00+08:00"", ""data_last_seen"": ""2025-12-02T19:50:00+08:00"", ""dispatch_type"": ""GENERATOR"", ""commencement_date"": null, ""commencement_date_specificity"": null, ""commencement_date_display"": null, ""closure_date"": null, ""closure_date_specificity"": null, ""closure_date_display"": null, ""expected_operation_date"": null, ""expected_operation_date_specificity"": null, ""expected_operation_date_display"": null, ""expected_closure_date"": null, ""expected_closure_date_specificity"": null, ""expected_closure_date_display"": null, ""construction_start_date"": null, ""construction_start_date_specificity"": null, ""construction_start_date_display"": null, ""project_approval_date"": null, ""project_approval_date_specificity"": null, ""project_approval_date_display"": null, ""project_lodgement_date"": null, ""created_at"": ""2023-10-18T04:34:30+00:00"", ""updated_at"": ""2024-12-16T23:52:12+00:00""}, {""code"": ""ADPPV2"", ""fueltech_id"": ""solar_utility"", ""status_id"": ""operating"", ""capacity_registered"": 0.2, ""capacity_maximum"": 0.2, ""capacity_storage"": null, ""emissions_factor_co2"": null, ""data_first_seen"": null, ""data_last_seen"": null, ""dispatch_type"": ""GENERATOR"", ""commencement_date"": null, ""commencement_date_specificity"": null, ""commencement_date_display"": null, ""closure_date"": null, ""closure_date_specificity"": null, ""closure_date_display"": null, ""expected_operation_date"": null, ""expected_operation_date_specificity"": null, ""expected_operation_date_display"": null, ""expected_closure_date"": null, ""expected_closure_date_specificity"": null, ""expected_closure_date_display"": null, ""construction_start_date"": null, ""construction_start_date_specificity"": null, ""construction_start_date_display"": null, ""project_approval_date"": null, ""project_approval_date_specificity"": null, ""project_approval_date_display"": null, ""project_lodgement_date"": null, ""created_at"": ""2023-10-18T04:34:30+00:00"", ""updated_at"": ""2024-12-16T23:50:10+00:00""}, {""code"": ""ADPPV3"", ""fueltech_id"": ""solar_utility"", ""status_id"": ""operating"", ""capacity_registered"": 0.02, ""capacity_maximum"": 0.02, ""capacity_storage"": null, ""emissions_factor_co2"": null, ""data_first_seen"": null, ""data_last_seen"": null, ""dispatch_type"": ""GENERATOR"", ""commencement_date"": null, ""commencement_date_specificity"": null, ""commencement_date_display"": null, ""closure_date"": null, ""closure_date_specificity"": null, ""closure_date_display"": null, ""expected_operation_date"": null, ""expected_operation_date_specificity"": null, ""expected_operation_date_display"": null, ""expected_closure_date"": null, ""expected_closure_date_specificity"": null, ""expected_closure_date_display"": null, ""construction_start_date"": null, ""construction_start_date_specificity"": null, ""construction_start_date_display"": null, ""project_approval_date"": null, ""project_approval_date_specificity"": null, ""project_approval_date_display"": null, ""project_lodgement_date"": null, ""created_at"": ""2023-10-18T04:34:30+00:00"", ""updated_at"": ""2024-12-16T23:51:11+00:00""}]"
ALDGASF,Aldoga,NEM,QLD1,"<p>The Aldoga Solar Farm will be approximately 380MW. This solar photovoltaic (PV) facility is located approximately 20 km north-west of Gladstone on the central Queensland coast.</p><p>The Aldoga Solar Farm will deliver a flagship renewable energy project on Economic Development Queensland (EDQ) land as part of the Queensland Government’s <em>'Advancing our cities and regions strategy’</em>, which aims to renew and repurpose underutilised state land to generate jobs and drive economic growth.</p>",,-23.839544,151.0849,"[{""code"": ""ALDGASF1"", ""fueltech_id"": ""solar_utility"", ""status_id"": ""operating"", ""capacity_registered"": 535.21, ""capacity_maximum"": 387.0, ""capacity_storage"": null, ""emissions_factor_co2"": null, ""data_first_seen"": ""2025-03-21T15:05:00+10:00"", ""data_last_seen"": ""2025-12-02T18:35:00+10:00"", ""dispatch_type"": ""GENERATOR"", ""commencement_date"": null, ""commencement_date_specificity"": null, ""commencement_date_display"": null, ""closure_date"": null, ""closure_date_specificity"": null, ""closure_date_display"": null, ""expected_operation_date"": null, ""expected_operation_date_specificity"": null, ""expected_operation_date_display"": null, ""expected_closure_date"": null, ""expected_closure_date_specificity"": null, ""expected_closure_date_display"": null, ""construction_start_date"": null, ""construction_start_date_specificity"": null, ""construction_start_date_display"": null, ""project_approval_date"": null, ""project_approval_date_specificity"": null, ""project_approval_date_display"": null, ""project_lodgement_date"": null, ""created_at"": ""2025-01-31T04:28:09+00:00"", ""updated_at"": ""2025-05-01T03:43:29+00:00""}]"
AVLSF,Avonlie,NEM,NSW1,"<p>The Avonlie Solar Farm will be a large-scale solar farm in Narrandera, New South Wales. The project will comprise more than 450,000 solar panels with a total energy capacity of up to roughly 245MW(DC).</p>",,-34.919115,146.60954,"[{""code"": ""AVLSF1"", ""fueltech_id"": ""solar_utility"", ""status_id"": ""operating"", ""capacity_registered"": 254.1, ""capacity_maximum"": 190.0, ""capacity_storage"": null, ""emissions_factor_co2"": null, ""data_first_seen"": ""2023-03-28T14:25:00+10:00"", ""data_last_seen"": ""2025-12-02T19:05:00+10:00"", ""dispatch_type"": ""GENERATOR"", ""commencement_date"": null, ""commencement_date_specificity"": null, ""commencement_date_display"": null, ""closure_date"": null, ""closure_date_specificity"": null, ""closure_date_display"": null, ""expected_operation_date"": null, ""expected_operation_date_specificity"": null, ""expected_operation_date_display"": null, ""expected_closure_date"": null, ""expected_closure_date_specificity"": null, ""expected_closure_date_display"": null, ""construction_start_date"": null, ""construction_start_date_specificity"": null, ""construction_start_date_display"": null, ""project_approval_date"": null, ""project_approval_date_specificity"": null, ""project_approval_date_display"": null, ""project_lodgement_date"": null, ""created_at"": ""2023-10-18T04:34:32+00:00"", ""updated_at"": ""2024-12-16T23:58:07+00:00""}]"
BAKING,Baking Board,NEM,QLD1,"<p>The Impact Investment Group’s Chinchilla Solar Farm is located approximately 7 km northwest of Chinchilla in the Western Downs shire of southeast Queensland. Located on 73 ha of land it has approximately 61,000 panels mounted on a single axis tracking system.</p>",,-26.721166,150.55417,"[{""code"": ""BAKING1"", ""fueltech_id"": ""solar_utility"", ""status_id"": ""operating"", ""capacity_registered"": 17.5, ""capacity_maximum"": 14.0, ""capacity_storage"": null, ""emissions_factor_co2"": null, ""data_first_seen"": null, ""data_last_seen"": null, ""dispatch_type"": ""GENERATOR"", ""commencement_date"": null, ""commencement_date_specificity"": null, ""commencement_date_display"": null, ""closure_date"": null, ""closure_date_specificity"": null, ""closure_date_display"": null, ""expected_operation_date"": null, ""expected_operation_date_specificity"": null, ""expected_operation_date_display"": null, ""expected_closure_date"": null, ""expected_closure_date_specificity"": null, ""expected_closure_date_display"": null, ""construction_start_date"": null, ""construction_start_date_specificity"": null, ""construction_start_date_display"": null, ""project_approval_date"": null, ""project_approval_date_specificity"": null, ""project_approval_date_display"": null, ""project_lodgement_date"": null, ""created_at"": ""2023-10-18T04:34:33+00:00"", ""updated_at"": ""2025-09-09T05:00:07+00:00""}]"
BANNSP,Bannerton,NEM,VIC1,"<p>The Bannerton Solar Park is a solar power station in the locality of Bannerton southeast of Robinvale in the Sunraysia district of Victoria. It generates up to 88MW of electricity to the National Electricity Market (NEM).<br/>Bannerton Solar Park is the second solar farm to be funded by the Clean Energy Finance Corporation (after the Gannawarra Solar Farm). It uses 320,000 solar panels to generate 110MWDC/88MWAC of electricity. It has offtake agreements with Alinta Energy and Yarra Trams.CIMIC Group company UGL Limited designed and built the solar farm, including  single axis tracking system, substation and connection to the Powercor Australia grid. It is built on land unsuitable for Almond orchards.Bannerton is near the edge of the Victorian electricity grid. The Solar Farm exports electricity at 66kV into the distribution network to support the local grid in responding to the load imposed from irrigation in summer.</p>",,-34.67263,142.750362,"[{""code"": ""BANN1"", ""fueltech_id"": ""solar_utility"", ""status_id"": ""operating"", ""capacity_registered"": 100.0, ""capacity_maximum"": 88.0, ""capacity_storage"": null, ""emissions_factor_co2"": null, ""data_first_seen"": ""2018-07-20T14:40:00+10:00"", ""data_last_seen"": ""2025-12-02T19:30:00+10:00"", ""dispatch_type"": ""GENERATOR"", ""commencement_date"": null, ""commencement_date_specificity"": null, ""commencement_date_display"": null, ""closure_date"": null, ""closure_date_specificity"": null, ""closure_date_display"": null, ""expected_operation_date"": null, ""expected_operation_date_specificity"": null, ""expected_operation_date_display"": null, ""expected_closure_date"": null, ""expected_closure_date_specificity"": null, ""expected_closure_date_display"": null, ""construction_start_date"": null, ""construction_start_date_specificity"": null, ""construction_start_date_display"": null, ""project_approval_date"": null, ""project_approval_date_specificity"": null, ""project_approval_date_display"": null, ""project_lodgement_date"": null, ""created_at"": ""2023-10-18T04:34:33+00:00"", ""updated_at"": ""2025-05-08T02:03:55+00:00""}]"
BARCSF,Barcaldine,NEM,QLD1,"<p>The Barcaldine Solar Farm is a solar farm located five kilometres east of the town of Barcaldine in Central Queensland, Australia. The power station is owned by Elecnor and is situated on a 90 hectare site. It will use single-axis tracking technology. The power station can generate 20 megawatts AC. It consists of 78,000 panels.<br/><br/>Power was supplied to the grid in December 2016. It was Queensland&#x27;s first large scale solar farm.</p>",,-23.547333,145.318972,"[{""code"": ""BARCSF1"", ""fueltech_id"": ""solar_utility"", ""status_id"": ""operating"", ""capacity_registered"": 20.0, ""capacity_maximum"": 20.0, ""capacity_storage"": null, ""emissions_factor_co2"": null, ""data_first_seen"": ""2016-12-21T15:55:00+10:00"", ""data_last_seen"": ""2025-12-02T19:05:00+10:00"", ""dispatch_type"": ""GENERATOR"", ""commencement_date"": null, ""commencement_date_specificity"": null, ""commencement_date_display"": null, ""closure_date"": null, ""closure_date_specificity"": null, ""closure_date_display"": null, ""expected_operation_date"": null, ""expected_operation_date_specificity"": null, ""expected_operation_date_display"": null, ""expected_closure_date"": null, ""expected_closure_date_specificity"": null, ""expected_closure_date_display"": null, ""construction_start_date"": null, ""construction_start_date_specificity"": null, ""construction_start_date_display"": null, ""project_approval_date"": null, ""project_approval_date_specificity"": null, ""project_approval_date_display"": null, ""project_lodgement_date"": null, ""created_at"": ""2023-10-18T04:34:33+00:00"", ""updated_at"": ""2024-12-17T00:34:00+00:00""}]"
BERYLSF,Beryl,NEM,NSW1,"<p>Located on Wiradjuri Country in the Central West of NSW, approximately 5 kilometres west of Gulgong, Beryl Solar Farm supplies clean, green energy to power the Sydney Metro Northwest Rail Link.</p>",,-32.347501,149.460738,"[{""code"": ""BERYLSF1"", ""fueltech_id"": ""solar_utility"", ""status_id"": ""operating"", ""capacity_registered"": 98.0, ""capacity_maximum"": 87.0, ""capacity_storage"": null, ""emissions_factor_co2"": null, ""data_first_seen"": ""2019-04-23T09:55:00+10:00"", ""data_last_seen"": ""2025-11-12T06:30:00+10:00"", ""dispatch_type"": ""GENERATOR"", ""commencement_date"": null, ""commencement_date_specificity"": null, ""commencement_date_display"": null, ""closure_date"": null, ""closure_date_specificity"": null, ""closure_date_display"": null, ""expected_operation_date"": null, ""expected_operation_date_specificity"": null, ""expected_operation_date_display"": null, ""expected_closure_date"": null, ""expected_closure_date_specificity"": null, ""expected_closure_date_display"": null, ""construction_start_date"": null, ""construction_start_date_specificity"": null, ""construction_start_date_display"": null, ""project_approval_date"": null, ""project_approval_date_specificity"": null, ""project_approval_date_display"": null, ""project_lodgement_date"": null, ""created_at"": ""2023-10-18T04:34:35+00:00"", ""updated_at"": ""2025-05-08T02:08:10+00:00""}]"
BLUEGSF,Blue Grass,NEM,QLD1,"<p>The Blue Grass solar farm in Queensland, Australia, is being developed by Spanish renewable energy producer X-ELIO. The 200MW solar facility will produce 420GWh of green electricity a year, sufficient to power approximately 80,000 Queensland homes, once fully operational in the fourth quarter of 2021.</p>",,-26.691708,150.500037,"[{""code"": ""BLUEGSF1"", ""fueltech_id"": ""solar_utility"", ""status_id"": ""operating"", ""capacity_registered"": 183.0, ""capacity_maximum"": 148.0, ""capacity_storage"": null, ""emissions_factor_co2"": null, ""data_first_seen"": ""2022-08-01T13:15:00+10:00"", ""data_last_seen"": ""2025-12-02T18:30:00+10:00"", ""dispatch_type"": ""GENERATOR"", ""commencement_date"": null, ""commencement_date_specificity"": null, ""commencement_date_display"": null, ""closure_date"": null, ""closure_date_specificity"": null, ""closure_date_display"": null, ""expected_operation_date"": null, ""expected_operation_date_specificity"": null, ""expected_operation_date_display"": null, ""expected_closure_date"": null, ""expected_closure_date_specificity"": null, ""expected_closure_date_display"": null, ""construction_start_date"": null, ""construction_start_date_specificity"": null, ""construction_start_date_display"": null, ""project_approval_date"": null, ""project_approval_date_specificity"": null, ""project_approval_date_display"": null, ""project_lodgement_date"": null, ""created_at"": ""2023-10-18T04:34:36+00:00"", ""updated_at"": ""2025-05-06T04:56:18+00:00""}]"
BOLIVAR,Bolivar,NEM,SA1,<p>Iberdrola Australia has agreed to lease 120 MW of aero-derivative gas turbine equipment from the South Australian Government for a period of 25 years.</p><p>The equipment includes four independent 30 MW dual fuel units and related balance of plant. The generators can start in less than ten minutes and enable Iberdrola Australia to manage the intermittency risks associated with its large and growing fleet of renewable energy assets.</p>,,-34.495482,138.387641,"[{""code"": ""BOWWPV1"", ""fueltech_id"": ""solar_utility"", ""status_id"": ""operating"", ""capacity_registered"": 8.25, ""capacity_maximum"": 6.0, ""capacity_storage"": null, ""emissions_factor_co2"": null, ""data_first_seen"": ""2022-02-23T10:55:00+10:00"", ""data_last_seen"": ""2025-12-02T22:45:00+10:00"", ""dispatch_type"": ""GENERATOR"", ""commencement_date"": null, ""commencement_date_specificity"": null, ""commencement_date_display"": null, ""closure_date"": null, ""closure_date_specificity"": null, ""closure_date_display"": null, ""expected_operation_date"": null, ""expected_operation_date_specificity"": null, ""expected_operation_date_display"": null, ""expected_closure_date"": null, ""expected_closure_date_specificity"": null, ""expected_closure_date_display"": null, ""construction_start_date"": null, ""construction_start_date_specificity"": null, ""construction_start_date_display"": null, ""project_approval_date"": null, ""project_approval_date_specificity"": null, ""project_approval_date_display"": null, ""project_lodgement_date"": null, ""created_at"": ""2023-10-18T04:34:38+00:00"", ""updated_at"": ""2024-12-17T04:28:03+00:00""}]"
BOMENSF,Bomen,NEM,NSW1,"<p>Located 10 km north-east of Wagga Wagga city centre on Wiradjuri land, in the Wagga Wagga Special Activation Precinct, Bomen Solar Farm is a 100 MW solar farm and battery built by Australian developer Spark Renewables.</p>",,-35.0486,147.4439,"[{""code"": ""BOMENSF1"", ""fueltech_id"": ""solar_utility"", ""status_id"": ""operating"", ""capacity_registered"": 121.0, ""capacity_maximum"": 100.0, ""capacity_storage"": null, ""emissions_factor_co2"": null, ""data_first_seen"": ""2020-03-17T07:55:00+10:00"", ""data_last_seen"": ""2025-12-02T19:05:00+10:00"", ""dispatch_type"": ""GENERATOR"", ""commencement_date"": null, ""commencement_date_specificity"": null, ""commencement_date_display"": null, ""closure_date"": null, ""closure_date_specificity"": null, ""closure_date_display"": null, ""expected_operation_date"": null, ""expected_operation_date_specificity"": null, ""expected_operation_date_display"": null, ""expected_closure_date"": null, ""expected_closure_date_specificity"": null, ""expected_closure_date_display"": null, ""construction_start_date"": null, ""construction_start_date_specificity"": null, ""construction_start_date_display"": null, ""project_approval_date"": null, ""project_approval_date_specificity"": null, ""project_approval_date_display"": null, ""project_lodgement_date"": null, ""created_at"": ""2023-10-18T04:34:38+00:00"", ""updated_at"": ""2025-05-08T00:32:12+00:00""}]"
